objective_id,objective_description,pathway_level,resource_id,resource_title,resource_type,phase,matched_skill_tags,adaptation_instruction,evidence_output,implicit_soft_skills,challenge_level,implementation_priority
"p2.source_eval.verify","Verify source quality using SIFT/lateral reading","supported","r026","How to Use Google Scholar Effectively","video","2","research_skills|source_evaluation","Use guided worksheet, glossary support, and model paragraph before independent attempt.","120-180 word structured response + checklist self-check","critical judgement|self-management","high scaffold / moderate cognitive load","high"
"p2.source_eval.verify","Verify source quality using SIFT/lateral reading","supported","r006","Quoting, Paraphrasing & Summarising — OWL Purdue","article","2","citation_practice","Use guided worksheet, glossary support, and model paragraph before independent attempt.","120-180 word structured response + checklist self-check","critical judgement|self-management","high scaffold / moderate cognitive load","high"
"p2.source_eval.verify","Verify source quality using SIFT/lateral reading","supported","r019","Evaluating Sources of Information — OWL Purdue","article","2","source_evaluation","Use guided worksheet, glossary support, and model paragraph before independent attempt.","120-180 word structured response + checklist self-check","critical judgement|self-management","high scaffold / moderate cognitive load","high"
"p2.source_eval.verify","Verify source quality using SIFT/lateral reading","core","r026","How to Use Google Scholar Effectively","video","2","research_skills|source_evaluation","Use standard prompt with one extension question and light structure prompts.","180-280 word analytical response with one cited source","critical judgement|self-management","moderate scaffold / standard cognitive load","medium"
"p2.source_eval.verify","Verify source quality using SIFT/lateral reading","core","r006","Quoting, Paraphrasing & Summarising — OWL Purdue","article","2","citation_practice","Use standard prompt with one extension question and light structure prompts.","180-280 word analytical response with one cited source","critical judgement|self-management","moderate scaffold / standard cognitive load","medium"
"p2.source_eval.verify","Verify source quality using SIFT/lateral reading","core","r019","Evaluating Sources of Information — OWL Purdue","article","2","source_evaluation","Use standard prompt with one extension question and light structure prompts.","180-280 word analytical response with one cited source","critical judgement|self-management","moderate scaffold / standard cognitive load","medium"
"p2.source_eval.verify","Verify source quality using SIFT/lateral reading","advanced","r026","How to Use Google Scholar Effectively","video","2","research_skills|source_evaluation","Add second source/chapter, counter-position requirement, and transfer application.","280-400 word synthesis with counter-argument and two cited sources","critical judgement|self-management","low scaffold / high cognitive load","high"
"p2.source_eval.verify","Verify source quality using SIFT/lateral reading","advanced","r006","Quoting, Paraphrasing & Summarising — OWL Purdue","article","2","citation_practice","Add second source/chapter, counter-position requirement, and transfer application.","280-400 word synthesis with counter-argument and two cited sources","critical judgement|self-management","low scaffold / high cognitive load","high"
"p2.source_eval.verify","Verify source quality using SIFT/lateral reading","advanced","r019","Evaluating Sources of Information — OWL Purdue","article","2","source_evaluation","Add second source/chapter, counter-position requirement, and transfer application.","280-400 word synthesis with counter-argument and two cited sources","critical judgement|self-management","low scaffold / high cognitive load","high"
"p2.write.claim_verdict","Write claim verdict and methodological note","supported","r007","PEEL Paragraph Structure Guide (PDF)","pdf","2","evidence_use|argument_structure","Use guided worksheet, glossary support, and model paragraph before independent attempt.","120-180 word structured response + checklist self-check","communication|critical judgement","high scaffold / moderate cognitive load","high"
"p2.write.claim_verdict","Write claim verdict and methodological note","supported","r006","Quoting, Paraphrasing & Summarising — OWL Purdue","article","2","evidence_use|citation_practice","Use guided worksheet, glossary support, and model paragraph before independent attempt.","120-180 word structured response + checklist self-check","communication|critical judgement","high scaffold / moderate cognitive load","high"
"p2.write.claim_verdict","Write claim verdict and methodological note","supported","r008","Using Evidence Effectively — University of Manchester","article","2","evidence_use","Use guided worksheet, glossary support, and model paragraph before independent attempt.","120-180 word structured response + checklist self-check","communication|critical judgement","high scaffold / moderate cognitive load","high"
"p2.write.claim_verdict","Write claim verdict and methodological note","core","r007","PEEL Paragraph Structure Guide (PDF)","pdf","2","evidence_use|argument_structure","Use standard prompt with one extension question and light structure prompts.","180-280 word analytical response with one cited source","communication|critical judgement","moderate scaffold / standard cognitive load","medium"
"p2.write.claim_verdict","Write claim verdict and methodological note","core","r006","Quoting, Paraphrasing & Summarising — OWL Purdue","article","2","evidence_use|citation_practice","Use standard prompt with one extension question and light structure prompts.","180-280 word analytical response with one cited source","communication|critical judgement","moderate scaffold / standard cognitive load","medium"
"p2.write.claim_verdict","Write claim verdict and methodological note","core","r008","Using Evidence Effectively — University of Manchester","article","2","evidence_use","Use standard prompt with one extension question and light structure prompts.","180-280 word analytical response with one cited source","communication|critical judgement","moderate scaffold / standard cognitive load","medium"
"p2.write.claim_verdict","Write claim verdict and methodological note","advanced","r007","PEEL Paragraph Structure Guide (PDF)","pdf","2","evidence_use|argument_structure","Add second source/chapter, counter-position requirement, and transfer application.","280-400 word synthesis with counter-argument and two cited sources","communication|critical judgement","low scaffold / high cognitive load","high"
"p2.write.claim_verdict","Write claim verdict and methodological note","advanced","r006","Quoting, Paraphrasing & Summarising — OWL Purdue","article","2","evidence_use|citation_practice","Add second source/chapter, counter-position requirement, and transfer application.","280-400 word synthesis with counter-argument and two cited sources","communication|critical judgement","low scaffold / high cognitive load","high"
"p2.write.claim_verdict","Write claim verdict and methodological note","advanced","r008","Using Evidence Effectively — University of Manchester","article","2","evidence_use","Add second source/chapter, counter-position requirement, and transfer application.","280-400 word synthesis with counter-argument and two cited sources","communication|critical judgement","low scaffold / high cognitive load","high"
"p3.read.deep_academic","Deep strategic reading of scholarly texts","supported","r004","The Learning Scientists — Effective Reading Podcast","podcast","3","critical_reading|research_skills","Use guided worksheet, glossary support, and model paragraph before independent attempt.","120-180 word structured response + checklist self-check","self-management|critical judgement","high scaffold / moderate cognitive load","high"
"p3.read.deep_academic","Deep strategic reading of scholarly texts","supported","r027","Academic Database Search Strategies","article","3","research_skills","Use guided worksheet, glossary support, and model paragraph before independent attempt.","120-180 word structured response + checklist self-check","self-management|critical judgement","high scaffold / moderate cognitive load","high"
"p3.read.deep_academic","Deep strategic reading of scholarly texts","supported","r012","Counterargument and Rebuttal Techniques","video","3","critical_reading","Use guided worksheet, glossary support, and model paragraph before independent attempt.","120-180 word structured response + checklist self-check","self-management|critical judgement","high scaffold / moderate cognitive load","high"
"p3.read.deep_academic","Deep strategic reading of scholarly texts","core","r004","The Learning Scientists — Effective Reading Podcast","podcast","3","critical_reading|research_skills","Use standard prompt with one extension question and light structure prompts.","180-280 word analytical response with one cited source","self-management|critical judgement","moderate scaffold / standard cognitive load","medium"
"p3.read.deep_academic","Deep strategic reading of scholarly texts","core","r027","Academic Database Search Strategies","article","3","research_skills","Use standard prompt with one extension question and light structure prompts.","180-280 word analytical response with one cited source","self-management|critical judgement","moderate scaffold / standard cognitive load","medium"
"p3.read.deep_academic","Deep strategic reading of scholarly texts","core","r012","Counterargument and Rebuttal Techniques","video","3","critical_reading","Use standard prompt with one extension question and light structure prompts.","180-280 word analytical response with one cited source","self-management|critical judgement","moderate scaffold / standard cognitive load","medium"
"p3.read.deep_academic","Deep strategic reading of scholarly texts","advanced","r004","The Learning Scientists — Effective Reading Podcast","podcast","3","critical_reading|research_skills","Add second source/chapter, counter-position requirement, and transfer application.","280-400 word synthesis with counter-argument and two cited sources","self-management|critical judgement","low scaffold / high cognitive load","high"
"p3.read.deep_academic","Deep strategic reading of scholarly texts","advanced","r027","Academic Database Search Strategies","article","3","research_skills","Add second source/chapter, counter-position requirement, and transfer application.","280-400 word synthesis with counter-argument and two cited sources","self-management|critical judgement","low scaffold / high cognitive load","high"
"p3.read.deep_academic","Deep strategic reading of scholarly texts","advanced","r012","Counterargument and Rebuttal Techniques","video","3","critical_reading","Add second source/chapter, counter-position requirement, and transfer application.","280-400 word synthesis with counter-argument and two cited sources","self-management|critical judgement","low scaffold / high cognitive load","high"
"p3.write.argument_synthesis","Integrate evidence into coherent argument and genre","supported","r007","PEEL Paragraph Structure Guide (PDF)","pdf","3","evidence_use|argument_structure","Use guided worksheet, glossary support, and model paragraph before independent attempt.","120-180 word structured response + checklist self-check","communication|collaboration","high scaffold / moderate cognitive load","high"
"p3.write.argument_synthesis","Integrate evidence into coherent argument and genre","supported","r016","Academic Writing — General Style Principles","article","3","academic_tone|argument_structure","Use guided worksheet, glossary support, and model paragraph before independent attempt.","120-180 word structured response + checklist self-check","communication|collaboration","high scaffold / moderate cognitive load","high"
"p3.write.argument_synthesis","Integrate evidence into coherent argument and genre","supported","r013","Academic Writing Style — Manchester Academic Phrasebank (PDF)","pdf","3","academic_tone","Use guided worksheet, glossary support, and model paragraph before independent attempt.","120-180 word structured response + checklist self-check","communication|collaboration","high scaffold / moderate cognitive load","high"
"p3.write.argument_synthesis","Integrate evidence into coherent argument and genre","core","r007","PEEL Paragraph Structure Guide (PDF)","pdf","3","evidence_use|argument_structure","Use standard prompt with one extension question and light structure prompts.","180-280 word analytical response with one cited source","communication|collaboration","moderate scaffold / standard cognitive load","medium"
"p3.write.argument_synthesis","Integrate evidence into coherent argument and genre","core","r016","Academic Writing — General Style Principles","article","3","academic_tone|argument_structure","Use standard prompt with one extension question and light structure prompts.","180-280 word analytical response with one cited source","communication|collaboration","moderate scaffold / standard cognitive load","medium"
"p3.write.argument_synthesis","Integrate evidence into coherent argument and genre","core","r013","Academic Writing Style — Manchester Academic Phrasebank (PDF)","pdf","3","academic_tone","Use standard prompt with one extension question and light structure prompts.","180-280 word analytical response with one cited source","communication|collaboration","moderate scaffold / standard cognitive load","medium"
"p3.write.argument_synthesis","Integrate evidence into coherent argument and genre","advanced","r007","PEEL Paragraph Structure Guide (PDF)","pdf","3","evidence_use|argument_structure","Add second source/chapter, counter-position requirement, and transfer application.","280-400 word synthesis with counter-argument and two cited sources","communication|collaboration","low scaffold / high cognitive load","high"
"p3.write.argument_synthesis","Integrate evidence into coherent argument and genre","advanced","r016","Academic Writing — General Style Principles","article","3","academic_tone|argument_structure","Add second source/chapter, counter-position requirement, and transfer application.","280-400 word synthesis with counter-argument and two cited sources","communication|collaboration","low scaffold / high cognitive load","high"
"p3.write.argument_synthesis","Integrate evidence into coherent argument and genre","advanced","r013","Academic Writing Style — Manchester Academic Phrasebank (PDF)","pdf","3","academic_tone","Add second source/chapter, counter-position requirement, and transfer application.","280-400 word synthesis with counter-argument and two cited sources","communication|collaboration","low scaffold / high cognitive load","high"
"p4.ai.integrity","Use AI tools with verification and integrity","supported","r018","The SIFT Method — Four Moves for Source Checking","article","4","source_evaluation|ai_literacy","Use guided worksheet, glossary support, and model paragraph before independent attempt.","120-180 word structured response + checklist self-check","ethical judgement|self-management","high scaffold / moderate cognitive load","high"
"p4.ai.integrity","Use AI tools with verification and integrity","supported","r020","Lateral Reading: How Fact-Checkers Evaluate Sources","video","4","source_evaluation|ai_literacy","Use guided worksheet, glossary support, and model paragraph before independent attempt.","120-180 word structured response + checklist self-check","ethical judgement|self-management","high scaffold / moderate cognitive load","high"
"p4.ai.integrity","Use AI tools with verification and integrity","supported","r025","Academic Integrity — What Students Need to Know","article","4","citation_practice|ai_literacy","Use guided worksheet, glossary support, and model paragraph before independent attempt.","120-180 word structured response + checklist self-check","ethical judgement|self-management","high scaffold / moderate cognitive load","high"
"p4.ai.integrity","Use AI tools with verification and integrity","core","r018","The SIFT Method — Four Moves for Source Checking","article","4","source_evaluation|ai_literacy","Use standard prompt with one extension question and light structure prompts.","180-280 word analytical response with one cited source","ethical judgement|self-management","moderate scaffold / standard cognitive load","medium"
"p4.ai.integrity","Use AI tools with verification and integrity","core","r020","Lateral Reading: How Fact-Checkers Evaluate Sources","video","4","source_evaluation|ai_literacy","Use standard prompt with one extension question and light structure prompts.","180-280 word analytical response with one cited source","ethical judgement|self-management","moderate scaffold / standard cognitive load","medium"
"p4.ai.integrity","Use AI tools with verification and integrity","core","r025","Academic Integrity — What Students Need to Know","article","4","citation_practice|ai_literacy","Use standard prompt with one extension question and light structure prompts.","180-280 word analytical response with one cited source","ethical judgement|self-management","moderate scaffold / standard cognitive load","medium"
"p4.ai.integrity","Use AI tools with verification and integrity","advanced","r018","The SIFT Method — Four Moves for Source Checking","article","4","source_evaluation|ai_literacy","Add second source/chapter, counter-position requirement, and transfer application.","280-400 word synthesis with counter-argument and two cited sources","ethical judgement|self-management","low scaffold / high cognitive load","high"
"p4.ai.integrity","Use AI tools with verification and integrity","advanced","r020","Lateral Reading: How Fact-Checkers Evaluate Sources","video","4","source_evaluation|ai_literacy","Add second source/chapter, counter-position requirement, and transfer application.","280-400 word synthesis with counter-argument and two cited sources","ethical judgement|self-management","low scaffold / high cognitive load","high"
"p4.ai.integrity","Use AI tools with verification and integrity","advanced","r025","Academic Integrity — What Students Need to Know","article","4","citation_practice|ai_literacy","Add second source/chapter, counter-position requirement, and transfer application.","280-400 word synthesis with counter-argument and two cited sources","ethical judgement|self-management","low scaffold / high cognitive load","high"
"p4.write.ethics_synthesis","Write position/rebuttal/synthesis recommendation","supported","r013","Academic Writing Style — Manchester Academic Phrasebank (PDF)","pdf","4","academic_tone","Use guided worksheet, glossary support, and model paragraph before independent attempt.","120-180 word structured response + checklist self-check","communication|ethical judgement","high scaffold / moderate cognitive load","high"
"p4.write.ethics_synthesis","Write position/rebuttal/synthesis recommendation","supported","r008","Using Evidence Effectively — University of Manchester","article","4","evidence_use","Use guided worksheet, glossary support, and model paragraph before independent attempt.","120-180 word structured response + checklist self-check","communication|ethical judgement","high scaffold / moderate cognitive load","high"
"p4.write.ethics_synthesis","Write position/rebuttal/synthesis recommendation","supported","r010","The Toulmin Model of Argumentation — OWL Purdue","article","4","argument_structure","Use guided worksheet, glossary support, and model paragraph before independent attempt.","120-180 word structured response + checklist self-check","communication|ethical judgement","high scaffold / moderate cognitive load","high"
"p4.write.ethics_synthesis","Write position/rebuttal/synthesis recommendation","core","r013","Academic Writing Style — Manchester Academic Phrasebank (PDF)","pdf","4","academic_tone","Use standard prompt with one extension question and light structure prompts.","180-280 word analytical response with one cited source","communication|ethical judgement","moderate scaffold / standard cognitive load","medium"
"p4.write.ethics_synthesis","Write position/rebuttal/synthesis recommendation","core","r008","Using Evidence Effectively — University of Manchester","article","4","evidence_use","Use standard prompt with one extension question and light structure prompts.","180-280 word analytical response with one cited source","communication|ethical judgement","moderate scaffold / standard cognitive load","medium"
"p4.write.ethics_synthesis","Write position/rebuttal/synthesis recommendation","core","r010","The Toulmin Model of Argumentation — OWL Purdue","article","4","argument_structure","Use standard prompt with one extension question and light structure prompts.","180-280 word analytical response with one cited source","communication|ethical judgement","moderate scaffold / standard cognitive load","medium"
"p4.write.ethics_synthesis","Write position/rebuttal/synthesis recommendation","advanced","r013","Academic Writing Style — Manchester Academic Phrasebank (PDF)","pdf","4","academic_tone","Add second source/chapter, counter-position requirement, and transfer application.","280-400 word synthesis with counter-argument and two cited sources","communication|ethical judgement","low scaffold / high cognitive load","high"
"p4.write.ethics_synthesis","Write position/rebuttal/synthesis recommendation","advanced","r008","Using Evidence Effectively — University of Manchester","article","4","evidence_use","Add second source/chapter, counter-position requirement, and transfer application.","280-400 word synthesis with counter-argument and two cited sources","communication|ethical judgement","low scaffold / high cognitive load","high"
"p4.write.ethics_synthesis","Write position/rebuttal/synthesis recommendation","advanced","r010","The Toulmin Model of Argumentation — OWL Purdue","article","4","argument_structure","Add second source/chapter, counter-position requirement, and transfer application.","280-400 word synthesis with counter-argument and two cited sources","communication|ethical judgement","low scaffold / high cognitive load","high"
"p5.read.litreview","Read and map literature for synthesis","supported","r021","APA 7th Edition — OWL Purdue Complete Guide","article","5","citation_practice","Use guided worksheet, glossary support, and model paragraph before independent attempt.","120-180 word structured response + checklist self-check","self-management|adaptability","high scaffold / moderate cognitive load","high"
"p5.read.litreview","Read and map literature for synthesis","supported","r024","APA 7th Edition Reference Card (PDF)","pdf","5","citation_practice","Use guided worksheet, glossary support, and model paragraph before independent attempt.","120-180 word structured response + checklist self-check","self-management|adaptability","high scaffold / moderate cognitive load","high"
"p5.read.litreview","Read and map literature for synthesis","supported","r025","Academic Integrity — What Students Need to Know","article","5","citation_practice","Use guided worksheet, glossary support, and model paragraph before independent attempt.","120-180 word structured response + checklist self-check","self-management|adaptability","high scaffold / moderate cognitive load","high"
"p5.read.litreview","Read and map literature for synthesis","core","r021","APA 7th Edition — OWL Purdue Complete Guide","article","5","citation_practice","Use standard prompt with one extension question and light structure prompts.","180-280 word analytical response with one cited source","self-management|adaptability","moderate scaffold / standard cognitive load","medium"
"p5.read.litreview","Read and map literature for synthesis","core","r024","APA 7th Edition Reference Card (PDF)","pdf","5","citation_practice","Use standard prompt with one extension question and light structure prompts.","180-280 word analytical response with one cited source","self-management|adaptability","moderate scaffold / standard cognitive load","medium"
"p5.read.litreview","Read and map literature for synthesis","core","r025","Academic Integrity — What Students Need to Know","article","5","citation_practice","Use standard prompt with one extension question and light structure prompts.","180-280 word analytical response with one cited source","self-management|adaptability","moderate scaffold / standard cognitive load","medium"
"p5.read.litreview","Read and map literature for synthesis","advanced","r021","APA 7th Edition — OWL Purdue Complete Guide","article","5","citation_practice","Add second source/chapter, counter-position requirement, and transfer application.","280-400 word synthesis with counter-argument and two cited sources","self-management|adaptability","low scaffold / high cognitive load","high"
"p5.read.litreview","Read and map literature for synthesis","advanced","r024","APA 7th Edition Reference Card (PDF)","pdf","5","citation_practice","Add second source/chapter, counter-position requirement, and transfer application.","280-400 word synthesis with counter-argument and two cited sources","self-management|adaptability","low scaffold / high cognitive load","high"
"p5.read.litreview","Read and map literature for synthesis","advanced","r025","Academic Integrity — What Students Need to Know","article","5","citation_practice","Add second source/chapter, counter-position requirement, and transfer application.","280-400 word synthesis with counter-argument and two cited sources","self-management|adaptability","low scaffold / high cognitive load","high"
"p5.write.identity_reflection","Write reflective scholarly identity and lifelong plan","supported","r013","Academic Writing Style — Manchester Academic Phrasebank (PDF)","pdf","5","academic_tone","Use guided worksheet, glossary support, and model paragraph before independent attempt.","120-180 word structured response + checklist self-check","communication|self-management","high scaffold / moderate cognitive load","high"
"p5.write.identity_reflection","Write reflective scholarly identity and lifelong plan","supported","r016","Academic Writing — General Style Principles","article","5","academic_tone|argument_structure","Use guided worksheet, glossary support, and model paragraph before independent attempt.","120-180 word structured response + checklist self-check","communication|self-management","high scaffold / moderate cognitive load","high"
"p5.write.identity_reflection","Write reflective scholarly identity and lifelong plan","supported","r007","PEEL Paragraph Structure Guide (PDF)","pdf","5","argument_structure","Use guided worksheet, glossary support, and model paragraph before independent attempt.","120-180 word structured response + checklist self-check","communication|self-management","high scaffold / moderate cognitive load","high"
"p5.write.identity_reflection","Write reflective scholarly identity and lifelong plan","core","r013","Academic Writing Style — Manchester Academic Phrasebank (PDF)","pdf","5","academic_tone","Use standard prompt with one extension question and light structure prompts.","180-280 word analytical response with one cited source","communication|self-management","moderate scaffold / standard cognitive load","medium"
"p5.write.identity_reflection","Write reflective scholarly identity and lifelong plan","core","r016","Academic Writing — General Style Principles","article","5","academic_tone|argument_structure","Use standard prompt with one extension question and light structure prompts.","180-280 word analytical response with one cited source","communication|self-management","moderate scaffold / standard cognitive load","medium"
"p5.write.identity_reflection","Write reflective scholarly identity and lifelong plan","core","r007","PEEL Paragraph Structure Guide (PDF)","pdf","5","argument_structure","Use standard prompt with one extension question and light structure prompts.","180-280 word analytical response with one cited source","communication|self-management","moderate scaffold / standard cognitive load","medium"
"p5.write.identity_reflection","Write reflective scholarly identity and lifelong plan","advanced","r013","Academic Writing Style — Manchester Academic Phrasebank (PDF)","pdf","5","academic_tone","Add second source/chapter, counter-position requirement, and transfer application.","280-400 word synthesis with counter-argument and two cited sources","communication|self-management","low scaffold / high cognitive load","high"
"p5.write.identity_reflection","Write reflective scholarly identity and lifelong plan","advanced","r016","Academic Writing — General Style Principles","article","5","academic_tone|argument_structure","Add second source/chapter, counter-position requirement, and transfer application.","280-400 word synthesis with counter-argument and two cited sources","communication|self-management","low scaffold / high cognitive load","high"
"p5.write.identity_reflection","Write reflective scholarly identity and lifelong plan","advanced","r007","PEEL Paragraph Structure Guide (PDF)","pdf","5","argument_structure","Add second source/chapter, counter-position requirement, and transfer application.","280-400 word synthesis with counter-argument and two cited sources","communication|self-management","low scaffold / high cognitive load","high"
